requirement,requirement_detail,product_id
Waschbecken wandhängend Sanitärporzellan B 550-600mm Ausladung 450-500," Waschbecken DIN EN 31 (wandhängend), aus Sanitärporzellan, Farbton weiß, glasiert, ohne Hahnloch, mit Überlauf, für Ablaufventil, Br eite über 550 bis 600 mm, Ausladung über 450 bis 500 mm, mit Schallschutz DIN 4109-1, @1 Textergänzungen des Auftraggebers Hersteller und Typ 'Duravit / Vero' oder gleichwertig, @2 Textergänzungen des Bieters Hersteller und Typ vom Bieter einzutragen .",2350600070
WC- Sitz D- CODE weiss, WC- Sitz D- CODE weiss,0067310000
" Waschtisch,"," Waschtisch, Sanitärporzellan, Maße: 600 x 460 mm, Eckig, für 3-Loch Armatur geeignet, mittleres Hahnloch durchgestochen, mit Überlauf, inkl. Befestigungsmaterial, Weiß Alpin, inkl. Schallschutzsett.  Fabrikat:  Duravit oder gleichwertig Typ:  D-Code  gewähltes Fabr.: '....................................'   vom Bieter einzutragen  gewählter Typ: '.....................................'   vom Bieter einzutragen",2310600000
Urinal-Becken," Urinal-Becken aus Sanitärkeramik Maße: 300 x 585 x 350 mm Spülwasserbedarf: 0,5l I incl. Befestigungssatz für verdeckte Befestigung Komplette Steuerung,Spülung, Zu- und Ablauf ohne Deckel Farbe Weiß wonderglass bemustertes Fabrikat: Duravit Rimless Angebotenes Fabrikat ................................... Komplett liefern und montieren",28093000001
"Waschtischanlage, rund"," Waschtischanlage, bestehend aus: Aufsatzbecken mit Überlauf aus Sanitärkeramik ohne Hahnloch zur Montage auf Konsole oder Badmöbel, Durchmesser: 420 Abmessungen (BxTxH): 420x420x155mm @11 Textergänzungen des Bieters gew. Fabr.: '..........' @12 Textergänzungen des Bieters gew. Typ: '..........' 1 mess.-verchr. Ablaufventil DN 32 1 mess.- verchr. Rohrgeruchverschluss mit Tauchrohranschluss, 2 mess.-verchr. Eckventile 1/2"", mit Rosette 1 Schallschutzstreifen einschl. Befestigungsmaterial komplett liefern und montieren, einschl. Silikonverfugung",0325420000
 Handwaschbeckenanlage bestehend aus:," Handwaschbeckenanlage bestehend aus:  1 Handwaschbecken Duravit Vero 450 x 350 mm 1 Einhand-Waschtischbatterie Grohe Concetto 1/2""   Ausladung 101 mm, mit Temperaturbegrenzer   mit Zugknopf-Ab- und Überlaufgarnitur 2 Eckventil 1/2"" 1 Röhrengeruchverschluß verchromt 1 1/4""  liefern und montieren",0704450000
Ausgussbecken 480x425 mm Farbe weiß, Ausgussbecken ohne Ü berlauf aus Sanit ä rkeramik. Rechteckige Beckenform mit 35mm breitem Rand und 100mm hochgezogener R ü ckwand als Spritzschutz. Komplett mit zugeh ö rigen Klapprost und Befestigung. Innenbecken(BxT)  410x350mm. Abmessungen(BxTxH)  480x425x300mm (Gesamth ö he). Farbe:  Wei ß,0050011000
 Tiefspül - WC Duravit Starck 3 - Duravit Rimless," Tiefspüler wandhängend mit verdeckter Befestigung. Spülrandloses Wand-WC mit patentierter Duravit Rimless# Spültechnologie aus Sanitärkeramik für 4,5 Liter Spülwasser nach EWL Klasse 1. Außen glatte geschlossene rechteckige Beckenform vorne übergehend in einen Halbkreis. Wandanschluss mit Aufkantung. Bodenfreiheit 60/95mm bei Einbauhöhe 400mm. Abmessungen(BxTxH)360x540x340mm. Farbe: weiß Einschl. Befestigung für Wand-WC und Schallschutzset.   Hersteller / Typ: Duravit / Starck 3 #2527090000",2527090000
Urinale für UP Steuerungen ," Urinal für Unterputzsteuerung   Eigenschaften - Ausspülen der Urinalkeramik mit 0,5 l pro Spülung gewährleistet, unter Einhaltung der EN 13407 - Reinigung des Entwässerungssystems ohne Abnehmen der Keramik - Sprühkopf von vorne austauschbar, ohne Abnehmen der Keramik - Geruchsverschlussaufnahme werkzeuglos   Technische Eigenschaften - Farbe: weiß - Kleine Spülmenge Einstellbereich: 0,5 l - Zielmarkierung: nein - Zulauf: hinten   im Lieferumfang enthalten: - Befestigungsmaterial - Urinalgeruchsverschluss mit Absaugfunktion - Ablaufsieb - Ablaufgarnitur - Rückflussverhinderer - Anschlusswinkel 90G R 1/2""   Zusätzlich zu bestellen - UP-Urinalsteuerung   Fabrikat z.BeispielDuravit My Stark oder gleichwertig   Angebotenes Produkt:....................... ",2809300000
" WT 500 mm, Duravit Vero"," Handwaschbeckenanlage 500 mm, weiß Fabrikat Duravit Typ Vero für 1- und 3 Locharmatur Waschbecken aus Kristallprozellan mit Ab- und Überlauf Größe  500/435 mm, Standardfarbe weiß einschl. Expressbefestigung liefern und montieren",0454500000
 Wandurinal aus Sanitärkeramik," Wandurinal aus Sanitärkeramik Zulauf und Ablauf nach hinten verdeckt, einschl. Urinal-Absaugesyphon aus Kunststoff, Befestigung mit verchromter Abdeckmutter und Anschlußzubehör Farbe: weiß Fabrikat: Hersteller: Duravit  Modell: Bill oder gleichwertiger Art  angebotenes Fabrikat:   Hersteller: '.....................................'   Typ: '.....................................' ",0851350000
 DURAVIT Starck 3 Waschtisch weiss 600 x 450 x 190 mm," DURAVIT Starck 3 Waschtisch Design by Philippe Starck, mit Überlauf aus Sanitärkeramik. Rechteckige Beckenform mit 37mm breitem Rand und tiefer liegender Hahnlochbank für Einloch- Armatur. Wandanschluss mit Aufkantung 35x35mm als Spritzschutz. Innenbecken(BxT)530x280mm. Abmessungen(BxTxH) 600x450x190mm. Weiß. Hersteller: Duravit Typ: Starck 3  0300600000 Liefern und montieren",0300600000
Urinal Sanitärporzellan glasiert Fuge verfüllen elast.Dichtstoff Silic," Urinal, aus Sanitärporzellan, glasiert, Standardfarbton, mit Siphon für Sperrflüssigkeit ohne Wasserspülung, mit Einsatzglocke für S perrflüssigkeit, Urinalsteuerung mit pneumatischer Spülauslösung, Spülmenge einstellbar, Ablauf verdeckt, Befestigung mit Schrauben, mit Schallschutz DIN 4109, einschl. Verfüllen der Fugen, mit elastischem Dichtstoff Indu strieverband Dichtstoffe IVD-Merkblatt Nr. 3-1, Volumenschwund kleiner gleich 10 %, Basis Silicon, zulässige Gesamtverformung 20 %, neutralvernetzend, Fugenbreite 10 mm, Farbton weiß, Fugenausbildung dreieckig. Abmessungen: Breite : 325 mm Tiefe : 300 mm Höhe : 580 mm Zulauf : von hinten Abgang : nach hinten Gewicht : ca. 15,9 kg",2808300000
Urinal-Becken," Urinal-Becken aus Sanitärkeramik Maße: 300 x 585 x 350 mm Spülwasserbedarf: 0,5l I incl. Befestigungssatz für verdeckte Befestigung Komplette Steuerung,Spülung, Zu- und Ablauf ohne Deckel Farbe Weiß wonderglass bemustertes Fabrikat: Duravit Rimless Angebotenes Fabrikat ................................... Komplett liefern und montieren",0051130000
" Waschbecken Größe 600 x 450 mm aus Sanitär-Porzellan für Einlocharmatur, mit keramischen Überlauf, "," Waschbecken aus Sanitär-Porzellan für Einlocharmatur, mit keramischen Überlauf Größe:    600 x 450 mm Farbe:      weiß Fabrikat:  Duravit Modell:  Philipp Starck 3-Waschtisch  liefern und montieren   ",0300600000
Absaug-Urinal Ben," Absaug-Urinal weiß aus Sanitärkeramik Zulauf und Ablauf verdeckt, verdeckte Befestigung, geschlossene Form, mit Spülrand. Farbe:  weiß Fabrikat:  Duravit Typ:  Ben",0847370000
"Duravit Wand-Tiefspül-WC D-Code 54,5x35.5cm weiß"," Duravit Wand-Tiefspül-WC D-Code 54,5x35.5cm weiß Tiefspüler aus Sanitärkeramik 355x545x340mm  Farbe: 00 Weiß Alpin  Bestellnummer: 2209090000  oder gleichwertig angeb. Fabrikat : @1 Textergänzungen des Bieters '..............................' ",2535090000
 WC - Sitz med, WC - Sitz med  mit Deckel weis mit Scharnierwelle aus Duroplast durchgehender Schranierwelle Schanier aus Edelstahl  Bieter gewähltes Fabrikat:    '.........'  Bieter gewählte Type:    '.........'  Ausführung :    weiß  komplett liefern und montieren,0062410000
 WC Sitz für Wand WC," WC Sitz passend zu vorher genanntem Wand WC mit Absenkautomatik und abnehmbar Farbe: weiß matt/weiß Bestellnummer: 0020192600  Hersteller: Duravit Typ: WC Sitz, Me by Starck",0020192600
"Klosettsitz, rollstuhlgeeignet"," Klosettsitz, rollstuhlgeeignet aus hochwertigem Kunststoff mit Deckel über den Sitz greifend, passend zum angebotenen WC. Stabile Edelstahl-Scharniere mit durchgeh ender Scharnierwelle aus Edelstahl mit Winkelpuffern gegen seitliches Verrutschen gesichert. Mit Befestigungselementen; für Wandklosett, mit Deckel, Farbe weiß",0060410000
Urinal-Becken," Urinal-Becken aus Sanitärkeramik Maße: 300 x 585 x 350 mm Spülwasserbedarf: 0,5l I incl. Befestigungssatz für verdeckte Befestigung Komplette Steuerung,Spülung, Zu- und Ablauf ohne Deckel Farbe Weiß wonderglass bemustertes Fabrikat: Duravit Rimless Angebotenes Fabrikat ................................... Komplett liefern und montieren",6958000000
 Elektronic-Urinal," Elektronic-Urinal für Netzanschluss aus Sanitärkeramik mit Zielpunkt Fliege, mit verdecktem Zu- und Ablauf absaugend. Außen glatte geschlossene Form. Abgang waagerecht. Unterhalb des Urinals eingebaute Elektronikeinheit für Netzbetrieb 230 V mit Infrarot-Sensoren und Edelstahlabdeckung,  Fabrikat: DURAVIT Typ: Utronic Best.Nr.: 0830370097  einschl. Netzteil 230 V Best.Nr.: 0050040000  einschl. Absaugesifon Best.Nr.: 0050120000   oder gleichwertiger Art, nach Wahl des Bieters:   Fabr.: .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. ..   Typ: .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. ..   Material und Lohn:",0830370097
Urinale für UP Steuerungen ," Urinal für Unterputzsteuerung   Eigenschaften - Ausspülen der Urinalkeramik mit 0,5 l pro Spülung gewährleistet, unter Einhaltung der EN 13407 - Reinigung des Entwässerungssystems ohne Abnehmen der Keramik - Sprühkopf von vorne austauschbar, ohne Abnehmen der Keramik - Geruchsverschlussaufnahme werkzeuglos   Technische Eigenschaften - Farbe: weiß - Kleine Spülmenge Einstellbereich: 0,5 l - Zielmarkierung: nein - Zulauf: hinten   im Lieferumfang enthalten: - Befestigungsmaterial - Urinalgeruchsverschluss mit Absaugfunktion - Ablaufsieb - Ablaufgarnitur - Rückflussverhinderer - Anschlusswinkel 90G R 1/2""   Zusätzlich zu bestellen - UP-Urinalsteuerung   Fabrikat z.BeispielDuravit My Stark oder gleichwertig   Angebotenes Produkt:....................... ",0050421000
WC-Sitz Duravit Happy D.2 mit Absenkautomatik, WC-Sitz mit Deckel mit Absenkautomatik Scharniere Edelstahl  Farbe : Wei ß Scharnier : Edelstahl  Fabrikat : Duravit Modell : Happy D.2 mit Absenkautomatik Art-Nr. :  0064590000  passend zum vorstehenden WC-Typ  komplett liefern und montieren,0064590000
Doppelwaschtisch 1.200 mm," Waschtisch, aus Sanit ä rkeramik, Farbe wei ß , Beckenunterseite glasiert, mit Ü berlauf, mit Hahnlochbank, 2 Hahnl ö cher, Abmessungen au ß en: Breite: 1.200 mm, Tiefe : 470 mm, H ö he : 175 mm, einschl. Schallschutzset, Montagezubeh ö r. Fabrikat:     Duravit oder gleichwertig Typ:            Vero (045412) gew ä hltes Fabrikat/Typ: @61 Textergänzungen des Bieters ...........................................",0454120024
Waschtisch Duravit D-Neo 600 x 435 mm," Einbauwaschtisch 600 mm - Wei ß Hochglanz, - mit Hahnlochbank, - Anzahl Hahnl ö cher pro Waschplatz: 1 - mit Ü berlauf, - f ü r 1-Loch-Armaturen geeignet, - aus hochwertiger, langlebiger Sanit ä rkeramik: besonders widerstandsf ä higes, kratzresistentes Material mit hohem H ä rtegrad, - reinigungsfreundlicher und hygienischer Oberfl ä che, - f ü r Einbau von oben, - f ü r die Montage mit M ö beln geeignet Farbe: wei ß  einschl. Sanit ä rsilikon  Abmessungen: L ä nge:          600 mm Tiefe:            435 mm H ö he:             170 mm  Fabrikat: Duravit Typ: D-Neo Artikel-Nr.: 0357600027  Nach Montage ist das Objekt bis zur Endabnahme so zu sch ü tzen, dass nachfolgende Gewerke ihre Arbeiten ausf ü hren k ö nnen.(Schutzfolien, Schutzvlies). Abstimmung mit Bauleitung und Nachfolgegewerken.  komplett liefern und montieren",0722430000
"WC-Sitz - DURAVIT / D-Neo, Weiß 376x441x43 mm, mit Absenkautomatik"," DURAVIT D-Neo, WC-Sitz, Weiß 376x441x43 mm, mit Absenkautomatik Abmessungen (BxTxHx) 376x441x43 mm Fabrikat:	DURAVIT Typ:	D-Neo Art.-Nr.:	0021690000 oder gleichwertig @60 Textergänzungen des Bieters Fabrikat: '........................................' @61 Textergänzungen des Bieters Typ: '........................................' liefern und montieren",0021690000
" Handwaschbeckenanlage 500 mm, weiß"," Handwaschbeckenanlage 500 mm, weiß Fabrikat Duravit Typ Vero mit Hahnloch, ohne Überlauf aus Sanitärkeramik mit Hahnlochbank. Rechteckiger Waschtisch mit Hahnloch. liefern und montieren",2350500041
 Waschbecken Sanitärkeramik B 500mm Ausladung 380mm," Leistung wie Position 1.4.3.1., jedoch: Waschbecken, Breite 500 mm, Ausladung 380 mm.  .WC-Vorräume 1.-3.OG .Fachräume",0705450000
Ausgussbecken Keramik mit Ausgußklapprost," Ausgußbecken aus Sanitärkermaik, für Wandmontage Publica Ausgussbecken f. Klapprost, 45x36x33,5cm, ohne Überlauf, weiß Geberit Publica Ausgussbecken für Klapprost Verwendungszwecke - Für Industrie und Handel - Zum Ausschütten von Abwasser Technische Eigenschaften - Werkstoff: Sanitärkeramik - Farbe: weiß - Breite: 45 cm - Höhe: 35 cm - Tiefe: 33,5 cm - Überlauf: ohne - Nettogewicht: 19,000 kg zusätzlicher Lieferumfang - Ausgussbecken Zusätzlich zu bestellen - Klapprost aus Edelstahl, mit Puffern Fabrikat: Geberit Typ: Publica Artikel-Nr.: 367200000 Größe: Breite: 450 mm, Tiefe: 335 mm Stichmaß: 305 mm Befestigung: Steinschrauben Ablauf: außen senkrecht (ohne Siphon) Farbe: weiß (alpin) Mit Ausgußklapprost, aus Messing verchromt, mit Kunststoff- Beckenrandschoner Einbauort: Reinigung KG gewähltes Fabrikat: GEBERIT gewählter Typ: Quelle oder gleichwertig @60 Textergänzungen des Bieters Hersteller/Typ .................................................... vom Bieter einzutragen",0067121000
 Flachspül-WC Sanitärporzellan glasiert eckig bodenstehend Ausladung 500-600mm WC-Sitz Fuge verfüllen elast.Dichtstoff B 5mm," Flachspül-WC DIN EN 997, aus Sanitärporzellan, glasiert , Farbton weiß, eckig, mit offenem, glasierten Spülrand , bodenstehend, Spülmenge 4,5 l, Ausladung über 500 bis 600 mm, mit WC-Sitz, Befestigung an Installationseleme nt, mit Schallschutz DIN 4109-1, einschl. Verfüllen der Fugen, mit elastischem Dichtstoff DIN EN 15651-3, Fuge nbreite 5 mm.",2109090000
 Duravit WC-Sitz," Duravit WC-Sitz Scharniere Edelstahl, für Starck 3 Wand-WC Farbe weiß absenkautomatik  Hersteller/Typ Duravit/Starck 3  oder gleichwertig ",0062410000
"Absaugurinal aus Sanitärporzellan, wandhängend, weiss"," Absaugurinal aus Sanitärporzellan, wandhängend, weiss Zu- und Ablauf von hinten, mit Einlaufverbinder u. Ab- saugformstück/ Geruchsv erschluß. Einschl. Schallschutz- set u. Befestigungszubehör mit Schraubenabdeckung  Fabrikat/Typ: Duravit/ Ben 84737*   o. gleichwertig  Fabrikat/Typ: .....................................",0847370000
" Rechteckiger Waschtisch, B 650, T 500 Duravit D-Code"," Rechteckiger Waschtisch, B 650, T 500 Duravit D-Code DURAVIT D-Code Waschtisch Design by sieger design, mit Überlauf aus Sanitärkeramik. Großes rechteckiges Becken mit runden Ecken und Hahnlochbank mit Hahnloch für Einloch- optional Dreilocharmatur. Abmessungen(BxTxH)650x500x180mm. Weiß. Montage mit Einlocharmatur Best.Nr. 2310650000   Befestigung: Stockschrauben M 10 x 120   Zubehör: 1. Stck höhenverstellbarer Röhrengeruchverschluß mit Rosette verchromt 1. Stck gewölbten Ablaufventil und Überlaufventil, verchromt   2. Stck Eckventile (gew. Fabr. Fa.Schell)   1. Stck Schallentkopplungsband   1. Stck Silikonfuge Farbe entspechend Abstimmung bzw. Bemusterung durch den Bauherren   einschl. allen Klein- ,Dichtund Befestigungsmaterials   Schallschutz-Set für Waschtisch Zur Trennung zwischen schallharter Keramik und der schallharten, in der Regel gefließten Wand. Bestehend aus: selbstklebender Schallschutz-Matte, mit Ausschnitten für Ablauf, Zulauf und Befestigung, mit 2 Schallschutzhülsen für die Befestigungsschrauben Liefern und montieren.   gepl. Fabrikat.: Duravit   gepl. Typ: D-Code   oder gleichwertig.     gew. Fabrikat: .....................   gew. Typ : .......................   Vom Bieter einzutragen.",2310650000
" Duravit Waschtisch Happy D.2 800 mm mit ÜL, mit HLB, 1 HL, weiss"," Duravit Waschtisch Happy D.2 aus Sanitärkeramik, 800x525x175mm mit Überlauf, mit Hahnlochbank Bestellnummer: 2316800000 Farbe: 00 Weiss Ausführung: 1 Hahnloch EAN: 4021534848667 ",2316800000
Urinale für UP Steuerungen ," Urinal für Unterputzsteuerung   Eigenschaften - Ausspülen der Urinalkeramik mit 0,5 l pro Spülung gewährleistet, unter Einhaltung der EN 13407 - Reinigung des Entwässerungssystems ohne Abnehmen der Keramik - Sprühkopf von vorne austauschbar, ohne Abnehmen der Keramik - Geruchsverschlussaufnahme werkzeuglos   Technische Eigenschaften - Farbe: weiß - Kleine Spülmenge Einstellbereich: 0,5 l - Zielmarkierung: nein - Zulauf: hinten   im Lieferumfang enthalten: - Befestigungsmaterial - Urinalgeruchsverschluss mit Absaugfunktion - Ablaufsieb - Ablaufgarnitur - Rückflussverhinderer - Anschlusswinkel 90G R 1/2""   Zusätzlich zu bestellen - UP-Urinalsteuerung   Fabrikat z.BeispielDuravit My Stark oder gleichwertig   Angebotenes Produkt:....................... ",0050040000
" Tiefspül-WC als Behinderten-WC, wandhängend"," Duravit Wand-WC Starck 3 Vital Tiefspüler aus Sanitärke ramik 360x700x320mm, barrierefrei für 6 Liter Spülwasser Bestellnummer: 22030900001 Farbe: 00 Weiss Oberfläche: WonderGliss Fabrikat: Geberit (Keramag) Typ: Vitalis Artikel-Nr.: 201500000  ,  - einschl. aller Klein-,Dicht- und Befestigungsmaterial ien, beh. WC-Anlage  Duravit WC-Sitz Starck 3 aus Kunststoff ohne Absenkauto matik Scharniere edelstahl Bestellnummer: 0063810000 Farbe: 00 Weiss,  Liefern und montieren.",0062410000
Urinal, (Gewähltes Fabrikat und Typ ist einzutragen),0051120000
 Universalbecken Scola," Universalbecken aus Keramik, mit Überlauf, mit Hahnlochbank, mit Hahnlochvorstich oder vorgestochen, Becken links oder rechts Größe: 615 x 460 inkl. systemgebundenem Zubehör liefern und betriebsfertig montieren Größe: B x T:  550 x 440 mm Fabrikat der Planung: Duravit Type der Planung: Scola Farbe:  weiß",0684600011
 WC-Sitz aus Kunststoff mit Absenkautomatik SoftClose, WC-Sitz aus Kunststoff mit Absenkautomatik SoftClose verlängerte Ausführung Scharniere edelstahl Farbe: 00 Weiss   Fabrikat: Duravit Typ: D-Code WC Sitz Bestellnummer: 0060390000 EAN: 4021534822544  oder gleichwertiger Art  Fabrikat: '.........' Typ '.........'  liefern und montieren.,0064190096
 WC-Sitz," WC-Sitz aus Kunststoff weiß, mit Deckel und Universalscharnieren aus V2A Edelstahl, passend für WC aus Pos. vor. ",0063610000
" D-CODE WC-Sitz weiß, Scharniere Edelstahl"," D-CODE WC-Sitz weiß, Scharniere Edelstahl",0067310000
 Plan-Handwaschbecken 500 x 300," Plan Handwaschbecken Eigenschaften - unterbaufähig - reduzierte Randhöhe - 10 Jahre Nachkaufgarantie - eingebrannte, dauerhafte Spezialglasur mit porenfreier   hydrophiler Oberfläche, zur Flächendesinfektion geeignet - komplett geschlossener Überlaufkanal Technische Eigenschaften - Farbe: weiß - Oberfläche: KeraTect - Werkstoff: Sanitärkeramik - Nettogewicht: 16,500 kg - Hahnloch: mittig - Überlauf: sichtbar - Befestigungspunkte: 2 - B / Breite (cm): 50 cm - H / Höhe (cm): 16,5 cm - T / Tiefe (cm):  30 cm  einschl. Befestigungsset einschl. Schallschutzset  als Option für Montage im DG komplett liefern und montieren ",0050521000
" DURAVIT Wand-Tiefspül-WC-Set ME by STARCK weiss rimless, Durafix, WC-S itz m.Absenkautom."," Duravit Wand-WC ME by Starck Compact Rimless, Set bestehend aus: 2530090000 0020190000 Farbe: 00 Weiß Hersteller: Duravit Typ: 45300900A1 Liefern und montieren",45300900A1
 Handwaschbeckenanlage bestehend aus:," Handwaschbeckenanlage bestehend aus:  1 Handwaschbecken Duravit Vero 450 x 350 mm 1 Einhand-Waschtischbatterie Grohe Concetto 1/2""   Ausladung 101 mm, mit Temperaturbegrenzer   mit Zugknopf-Ab- und Überlaufgarnitur 2 Eckventil 1/2"" 1 Röhrengeruchverschluß verchromt 1 1/4""  liefern und montieren",0704450000
 Wandeinbauspülkasten für WC," best. aus:  - 1 Geberit-Kombifix-Wandeinbauspülkasten   mit Tragegerüst für Trockenbau - 1 Drückerplatte Sigma 50 in weiß - 1 Wand-WC Tiefspülklosett weiß   Modell Phillippe-Starck III - 1 Luxus-WC-Sitz, Mod. Phillippe-Starck III   weiß, Scharniere aus Edelstahl - 1 Ablaufgarnitur kompl. - 1 Schallschutz-Set  liefern und montieren",2200090000
Ausgussbecken 480x425mm Starck 3, - Putzraum -  ohne Überlauf aus Sanitärkeramik. Rechteckige Beckenform mit 35mm breitem Rand und 100mm hochgezogener Rückwand als Spritzschutz. Optionale Montage eines Klapprost möglich. Abmessungen(BxTxH)480x425x300mm Innenbecken(BxT)410x350mm. Farbe: weiß  Fabrikat:Duravit Typ: Starck 3 Art.-Nr.: 0313480000  einschließlich Klapprost Art.-Nr.: 005001 liefern und betriebsfertig montieren.,0313480000
Vital Wand-WC Tiefspüler," Duravit Starck 3 Vital Wand-WC Tiefspüler 700 mm für Rollstuhlbenutzer zur Montage auf die Wand, aus Sanitärkeramik für 6 Liter Spülwasser, rechteckige Beckenform übergehend in einen Halbkreis im vorderen Bereich, aus hygienischen Gründen mit geschlossenem Spülrand und mit keramischen Spülwasserverteiler, außen glatte geschlossene Form, Einbauhöhe 480 mm Abmessungen (bxtxh) 360 x 700 x 350 mm Farbe Weiß Best.Nr. 2203090000 Fabrikat: Duravit oder gleichwertig @11 Textergänzungen des Bieters gewähltes Fabrikat: liefern und montieren",2203090000
 Waschbecken 100x47 cm, Waschbecken 100x47 cm,2350100041
 Flachspül-WC Sanitärporzellan glasiert hängend H bis 460mm Ausladung 700mm WC-Sitz ohne Deckel," Flachspül-WC DIN EN 997, als barrierefreie Ausführung DIN 18040, aus Sanitärporzellan, glasiert, Farbton weiß, mit offenem, glasierten Spülrand, wandhängend, Spülmenge 6 l, Sonderhöhe, Höhe bis 460 mm, Ausladung 700 mm, Abgang waagerecht, mit WC-Sitz, ohne Deckel, Befestigung mit Schrauben, verdeckt, mit Schallschutz DIN 4109,  Produkt der Planung oder gleichwertig: Duravit / Starck 3 Wand-WC Vital  Hersteller/Typ '....................' vom Bieter einzutragen.",2203090000
Urinal Sanitärporzellan glasiert Urinal-Deckel," Urinal, aus Sanitärporzellan, glasiert, mit Urinal-Deckel, Farbton weiß, mit Absaugwirkung, mit Absaugformstück, Zulauf oben, Ablauf  unten offen, Befestigung mit Schrauben, Hersteller und Typ Durvait / starck 1 weiß . ",0065910000
" Duravit Wand-WC ME by Starck 570 mm Tiefspüler, rimless, Durafix, weis"," Duravit Wand-WC ME by Starck Tiefspüler aus Sanitärkeramik 370x570x350mm, rimless, Durafix für 4,5 Liter Spülwasser Bestellnummer: 2529090000 Farbe: 00 Weiss EAN: 4021534966774  liefern und montieren",2529090000
 Tiefspül-WC Sanitärporzellan glasiert hochglatt abgerundet hängend Ausladung 500-600mm WC-Sitz Fuge verfüllen elast.Dichtstoff Silicon B 5mm," Tiefspül-WC DIN EN 997, aus Sanitärporzellan, glasiert, hochglatt, Standardfarbton, abgerundet, spülrandfrei, wandhängend, Spülmenge 6 l, Ausladung über 500 bis 600 mm, Abgang waagerecht, mit WC-Sitz, Deckel mit Absenkautomatik, Befestigung an Installationselement, mit Schallschutz DIN 4109, einschl. Verfüllen der Fugen, mit elastischem Dichtstoff DIN EN 15651-3, Basis Silicon, Fugenbreite 5 mm, Farbton weiß, Fugenausbildung dreieckig.",2551090000
 Tiefspül-WC Sanitärporzellan glasiert hochglatt abgerundet hängend Ausladung 500-600mm WC-Sitz Fuge verfüllen elast.Dichtstoff Silicon B 5mm," Tiefspül-WC DIN EN 997, aus Sanitärporzellan, glasiert, hochglatt, Standardfarbton, abgerundet, spülrandfrei, wandhängend, Spülmenge 6 l, Ausladung über 500 bis 600 mm, Abgang waagerecht, mit WC-Sitz, Deckel mit Absenkautomatik, Befestigung an Installationselement, mit Schallschutz DIN 4109, einschl. Verfüllen der Fugen, mit elastischem Dichtstoff DIN EN 15651-3, Basis Silicon, Fugenbreite 5 mm, Farbton weiß, Fugenausbildung dreieckig.",0063790000
 WC-Sitz mit Deckel (Standard)," WC-Sitz mit Deckel, mit Absenkautomatik, Scharniere aus Edelstahl Farbton/Oberfläche weiß.  Fabrikat: Duravit Serie   Darling New Nr.:  0069890000  Angebotenes Produkt: '................................. ..................' VOM BIETER AUSZUFÜLLEN!",0069890000
PUSH-OPEN VENTIL," PUSH-OPEN VENTIL Ablaufventil, passend zu vor genanntem Waschtisch, nicht verschließbar, mit Abdeckung aus Chrom Fabrikat:	DURAVIT Artikel-Nr.:	005052",0050521000
 WC-Sitz Starck 3 Vital," WC-Sitzring Starck 3 Vital aus Kunststoff, ohne Absenkautomatik mit Winkelpuffern und durchgehender Scharnierwelle, Scharniere  Edelstahl Farbe:  Weiss E  Fabrikat:  Duravit Serie:    Starck 3 Vital  oder gleichwertig  Angebotenes Fabrikat / Typ  '..................................' vom Bieter einzutragen",0062610000
Wand-WC," Eigenschaften - Tiefspül-WC -Wandhängend - rimless - Spült mit 4,5 l Technische Eigenschaften: - Farbe:                                                         weiß - Werkstoff:                                                    Sanitärkeramik - Größe:                                                        370x700x360 mm Fabrikat/Typ:                                                  Duravit / Durastyle Compact Artikelnr. :                                                     2559090000 liefern und montieren",2559090000
Urinal," TA TB Urinal, Farbton weiß, mit Membran-Geruchverschluss, ohne Sperrflüssigkeit und ohne Wasserspülung, mit Sieb, Befestigung an Installat ionselement, mit Schallschutz DIN 4109-1, Hersteller und Typ Geberit Renova Nr. 1 wasserlos ArtNr.235170000 oder gleichwertig, vom Bieter einzutragen.",2808300000
 Flachspül-WC Sanitärporzellan glasiert abgerundet hängend Ausladung 500-600mm," Flachspül-WC, aus Sanitärporzellan, glasiert, Farbton weiß, abgerundet, mit wasserabweisender Beschichtung, mit offenem, glasierten Spülrand, wandhängend, Spülmenge 6 l, Ausladung über 500 bis 600 mm, Abgang waagerecht, Befestigung mit Schrauben, verdeckt, mit Schallschutz DIN 4109-1, Hersteller und Typ ' Duravit / Starck 3 Wand-WC' oder gleichwertig, Hersteller und Typ ' ....................................................' vom Bieter einzutragen.",2201090000
Absaugesifon," Absaugesifon zu vorstehendem Urinal Duravit Best.Nr.: 0050120000   oder gleichwertiger Art, nach Wahl des Bieters:  Fabr.:  .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. ..  Typ:  .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. ..   Material und Lohn:",0051120000
Duschwanne 90 x 90," Duravit Duschwanne Ecke links, Ecke rechts D-Code aus Sanitäracryl 900x900 x85 mm, Quadratisch, Glänzend, Inkl. Montageanleitung Bestellnummer: 720102000000000",720102000000000
